Date,GasPrice,CPI,CPI2019,cpi2019cpi,GasPriceDollar2019
01/92,1.022,138.1,256.092,1.854395366,1.895
02/92,1.006,138.6,256.092,1.847705628,1.859
03/92,1.013,139.3,256.092,1.838420675,1.862
04/92,1.052,139.5,256.092,1.835784946,1.931
05/92,1.107,139.7,256.092,1.833156764,2.029
06/92,1.145,140.2,256.092,1.826619116,2.091
07/92,1.137,140.5,256.092,1.822718861,2.072
08/92,1.122,140.9,256.092,1.817544358,2.039
09/92,1.122,141.3,256.092,1.812399151,2.034
10/92,1.114,141.8,256.092,1.806008463,2.012
11/92,1.111,142,256.092,1.803464789,2.004
12/92,1.078,141.9,256.092,1.804735729,1.946
01/93,1.062,142.6,256.092,1.795876578,1.907
02/93,1.054,143.1,256.092,1.789601677,1.886
03/93,1.052,143.6,256.092,1.783370474,1.876
04/93,1.078,144,256.092,1.778416667,1.917
05/93,1.1,144.2,256.092,1.775950069,1.954
06/93,1.097,144.4,256.092,1.773490305,1.946
07/93,1.078,144.4,256.092,1.773490305,1.912
08/93,1.062,144.8,256.092,1.76859116,1.878
09/93,1.05,145.1,256.092,1.764934528,1.853
10/93,1.092,145.7,256.092,1.757666438,1.919
11/93,1.066,145.8,256.092,1.756460905,1.872
12/93,1.014,145.8,256.092,1.756460905,1.781
01/94,0.998,146.2,256.092,1.751655267,1.748
02/94,1.009,146.7,256.092,1.745685072,1.761
03/94,1.008,147.2,256.092,1.739755435,1.754
04/94,1.027,147.4,256.092,1.737394844,1.784
05/94,1.047,147.5,256.092,1.736216949,1.818
06/94,1.078,148,256.092,1.730351351,1.865
07/94,1.106,148.4,256.092,1.725687332,1.909
08/94,1.155,149,256.092,1.718738255,1.985
09/94,1.144,149.4,256.092,1.714136546,1.961
10/94,1.114,149.5,256.092,1.712989967,1.908
11/94,1.116,149.7,256.092,1.710701403,1.909
12/94,1.091,149.7,256.092,1.710701403,1.866
01/95,1.082,150.3,256.092,1.703872255,1.844
02/95,1.073,150.9,256.092,1.697097416,1.821
03/95,1.072,151.4,256.092,1.691492734,1.813
04/95,1.111,151.9,256.092,1.685924951,1.873
05/95,1.178,152.2,256.092,1.68260184,1.982
06/95,1.192,152.5,256.092,1.679291803,2.002
07/95,1.154,152.5,256.092,1.679291803,1.938
08/95,1.123,152.9,256.092,1.674898627,1.881
09/95,1.111,153.2,256.092,1.671618799,1.857
10/95,1.087,153.7,256.092,1.666180872,1.811
11/95,1.062,153.6,256.092,1.667265625,1.771
12/95,1.071,153.5,256.092,1.668351792,1.787
01/96,1.09,154.4,256.092,1.658626943,1.808
02/96,1.089,154.9,256.092,1.653273079,1.8
03/96,1.137,155.7,256.092,1.64477842,1.87
04/96,1.231,156.3,256.092,1.638464491,2.017
05/96,1.279,156.6,256.092,1.63532567,2.092
06/96,1.256,156.7,256.092,1.634282068,2.053
07/96,1.227,157,256.092,1.631159236,2.001
08/96,1.207,157.3,256.092,1.628048315,1.965
09/96,1.202,157.8,256.092,1.622889734,1.951
10/96,1.204,158.3,256.092,1.61776374,1.948
11/96,1.232,158.6,256.092,1.614703657,1.989
12/96,1.235,158.6,256.092,1.614703657,1.994
01/97,1.236,159.1,256.092,1.609629164,1.99
02/97,1.23,159.6,256.092,1.604586466,1.974
03/97,1.205,160,256.092,1.600575,1.929
04/97,1.199,160.2,256.092,1.598576779,1.917
05/97,1.2,160.1,256.092,1.599575265,1.919
06/97,1.198,160.3,256.092,1.597579538,1.914
07/97,1.174,160.5,256.092,1.595588785,1.873
08/97,1.224,160.8,256.092,1.59261194,1.949
09/97,1.231,161.2,256.092,1.58866005,1.956
10/97,1.197,161.6,256.092,1.584727723,1.897
11/97,1.171,161.5,256.092,1.585708978,1.857
12/97,1.131,161.3,256.092,1.587675139,1.796
01/98,1.086,161.6,256.092,1.584727723,1.721
02/98,1.049,161.9,256.092,1.581791229,1.659
03/98,1.017,162.2,256.092,1.578865598,1.606
04/98,1.03,162.5,256.092,1.575950769,1.623
05/98,1.064,162.8,256.092,1.573046683,1.674
06/98,1.064,163,256.092,1.571116564,1.672
07/98,1.055,163.2,256.092,1.569191176,1.655
08/98,1.026,163.4,256.092,1.567270502,1.608
09/98,1.009,163.6,256.092,1.565354523,1.579
10/98,1.019,164,256.092,1.561536585,1.591
11/98,0.995,164,256.092,1.561536585,1.554
12/98,0.945,163.9,256.092,1.562489323,1.477
01/99,0.939,164.3,256.092,1.558685332,1.464
02/99,0.921,164.5,256.092,1.556790274,1.434
03/99,0.982,165,256.092,1.552072727,1.524
04/99,1.131,166.2,256.092,1.540866426,1.743
05/99,1.131,166.2,256.092,1.540866426,1.743
06/99,1.114,166.2,256.092,1.540866426,1.717
07/99,1.158,166.7,256.092,1.536244751,1.779
08/99,1.221,167.1,256.092,1.532567325,1.871
09/99,1.256,167.9,256.092,1.525265039,1.916
10/99,1.244,168.2,256.092,1.52254459,1.894
11/99,1.251,168.3,256.092,1.521639929,1.904
12/99,1.273,168.3,256.092,1.521639929,1.937
01/00,1.289,168.8,256.092,1.517132701,1.956
02/00,1.377,169.8,256.092,1.50819788,2.077
03/00,1.516,171.2,256.092,1.495864486,2.268
04/00,1.465,171.3,256.092,1.494991243,2.19
05/00,1.487,171.5,256.092,1.493247813,2.22
06/00,1.633,172.4,256.092,1.485452436,2.426
07/00,1.551,172.8,256.092,1.482013889,2.299
08/00,1.465,172.8,256.092,1.482013889,2.171
09/00,1.55,173.7,256.092,1.47433506,2.285
10/00,1.532,174,256.092,1.471793103,2.255
11/00,1.517,174.1,256.092,1.470947731,2.231
12/00,1.443,174,256.092,1.471793103,2.124
01/01,1.447,175.1,256.092,1.462547116,2.116
02/01,1.45,175.8,256.092,1.456723549,2.112
03/01,1.409,176.2,256.092,1.453416572,2.048
04/01,1.552,176.9,256.092,1.447665348,2.247
05/01,1.702,177.7,256.092,1.441148002,2.453
06/01,1.616,178,256.092,1.438719101,2.325
07/01,1.421,177.5,256.092,1.442771831,2.05
08/01,1.421,177.5,256.092,1.442771831,2.05
09/01,1.522,178.3,256.092,1.436298374,2.186
10/01,1.315,177.7,256.092,1.441148002,1.895
11/01,1.171,177.4,256.092,1.443585118,1.69
12/01,1.086,176.7,256.092,1.449303905,1.574
01/02,1.107,177.1,256.092,1.446030491,1.601
02/02,1.114,177.8,256.092,1.440337458,1.605
03/02,1.249,178.8,256.092,1.432281879,1.789
04/02,1.397,179.8,256.092,1.424315907,1.99
05/02,1.392,179.8,256.092,1.424315907,1.983
06/02,1.382,179.9,256.092,1.42352418,1.967
07/02,1.397,180.1,256.092,1.421943365,1.986
08/02,1.396,180.7,256.092,1.417221915,1.978
09/02,1.4,181,256.092,1.414872928,1.981
10/02,1.445,181.3,256.092,1.412531715,2.041
11/02,1.419,181.3,256.092,1.412531715,2.004
12/02,1.386,180.9,256.092,1.415655058,1.962
01/03,1.458,181.7,256.092,1.409422124,2.055
02/03,1.613,183.1,256.092,1.398645549,2.256
03/03,1.693,184.2,256.092,1.39029316,2.354
04/03,1.589,183.8,256.092,1.393318825,2.214
05/03,1.497,183.5,256.092,1.39559673,2.089
06/03,1.493,183.7,256.092,1.3940773,2.081
07/03,1.513,183.9,256.092,1.392561175,2.107
08/03,1.62,184.6,256.092,1.387280607,2.247
09/03,1.679,185.2,256.092,1.382786177,2.322
10/03,1.564,185,256.092,1.384281081,2.165
11/03,1.512,184.5,256.092,1.38803252,2.099
12/03,1.479,184.3,256.092,1.389538795,2.055
01/04,1.572,185.2,256.092,1.382786177,2.174
02/04,1.648,186.2,256.092,1.375359828,2.267
03/04,1.736,187.4,256.092,1.366552828,2.372
04/04,1.798,188,256.092,1.362191489,2.449
05/04,1.983,189.1,256.092,1.354267583,2.686
06/04,1.969,189.7,256.092,1.349984186,2.658
07/04,1.911,189.4,256.092,1.352122492,2.584
08/04,1.878,189.5,256.092,1.351408971,2.538
09/04,1.87,189.9,256.092,1.348562401,2.522
10/04,2,190.9,256.092,1.341498167,2.683
11/04,1.979,191,256.092,1.340795812,2.653
12/04,1.841,190.3,256.092,1.345727798,2.477
01/05,1.831,190.7,256.092,1.342905087,2.459
02/05,1.91,191.8,256.092,1.335203337,2.55
03/05,2.079,193.3,256.092,1.324842214,2.754
04/05,2.243,194.6,256.092,1.315991778,2.952
05/05,2.161,194.4,256.092,1.317345679,2.847
06/05,2.156,194.5,256.092,1.31666838,2.839
07/05,2.29,195.4,256.092,1.310603889,3.001
08/05,2.486,196.4,256.092,1.303930754,3.242
09/05,2.903,198.8,256.092,1.288189135,3.74
10/05,2.717,199.2,256.092,1.28560241,3.493
11/05,2.257,197.6,256.092,1.296012146,2.925
12/05,2.185,196.8,256.092,1.301280488,2.843
01/06,2.316,198.3,256.092,1.291437216,2.991
02/06,2.28,198.7,256.092,1.288837443,2.939
03/06,2.425,199.8,256.092,1.281741742,3.108
04/06,2.742,201.5,256.092,1.27092804,3.485
05/06,2.907,202.5,256.092,1.264651852,3.676
06/06,2.885,202.9,256.092,1.262158699,3.641
07/06,2.981,203.5,256.092,1.258437346,3.751
08/06,2.952,203.9,256.092,1.255968612,3.708
09/06,2.555,202.9,256.092,1.262158699,3.225
10/06,2.245,201.8,256.092,1.269038652,2.849
11/06,2.229,201.5,256.092,1.27092804,2.833
12/06,2.313,201.8,256.092,1.269038652,2.935
01/07,2.24,202.4,256.092,1.26527668,2.834
02/07,2.278,203.5,256.092,1.258437346,2.867
03/07,2.563,205.4,256.092,1.246796495,3.196
04/07,2.845,206.7,256.092,1.238955007,3.525
05/07,3.146,207.9,256.092,1.231803752,3.875
06/07,3.056,208.4,256.092,1.228848369,3.755
07/07,2.965,208.3,256.092,1.22943831,3.645
08/07,2.786,207.9,256.092,1.231803752,3.432
09/07,2.803,208.5,256.092,1.228258993,3.443
10/07,2.803,208.9,256.092,1.225907133,3.436
11/07,3.08,210.2,256.092,1.218325404,3.752
12/07,3.018,210,256.092,1.219485714,3.68
01/08,3.043,211.1,256.092,1.213131217,3.692
02/08,3.028,211.7,256.092,1.209692962,3.663
03/08,3.244,213.5,256.092,1.199494145,3.891
